time,consgrowth,cay,RREL,SPEX,tbill,r1,r2,r3,r4,r5,r6
1985,1.0073,0.0043944,0.99332,-0.010868,1.0164,0.94641,1.0023,1.0195,1.0039,1.0162,1.0186
1985.2,1.0124,0.01419,0.98468,0.08329,1.007,1.1296,1.1027,1.1094,1.0889,1.0773,1.0909
1985.5,1.0062,0.0043751,0.98925,0.052151,1.0106,1.0265,1.0567,1.0686,1.0472,1.0732,1.0776
1985.8,1.0091,0.015101,0.98954,-0.061919,1.0091,0.92614,0.97367,0.96209,0.94186,0.95596,0.94131
1986,1.0057,0.0083172,0.99028,0.14739,1.0083,1.1542,1.1461,1.1235,1.1889,1.1521,1.1464
1986.2,1.0028,-0.00050274,0.98985,0.1243,1.0075,1.134,1.1337,1.1409,1.1446,1.1398,1.1242
1986.5,1.0028,-0.0079588,0.9974,0.042533,1.0141,1.0559,1.0733,1.0578,1.0792,1.0473,1.0428
1986.8,1.0038,-0.004331,0.99106,-0.090947,1.0069,0.83086,0.89438,0.93044,0.86779,0.94469,0.98025
1987,1.0083,-0.0039238,0.99037,0.024314,1.005,1.0024,0.98688,0.99246,1.0427,1.0391,1.0319
1987.2,1.0088,-0.0082572,0.98818,0.19719,1.0018,1.2344,1.2043,1.1777,1.2296,1.193,1.1201
1987.5,1.0075,0.0030679,0.99174,0.017389,1.0051,0.97504,0.99116,0.99844,1.0336,1.0305,1.0286
1987.8,1.0034,-0.0039069,0.98948,0.046549,1.0028,1.0119,1.0477,1.0608,1.0711,1.0442,1.0254
1988,1.006,0.0055029,0.99205,-0.24577,1.0059,0.68273,0.73777,0.7229,0.75846,0.77497,0.79177
1988.2,1.0093,0.0055494,0.98901,0.066431,1.0031,1.1353,1.1619,1.1674,1.0306,1.056,1.092
1988.5,1.0071,0.0035819,0.98863,0.049022,1.0029,1.046,1.0573,1.068,1.0304,1.0732,1.065
1988.8,1.0083,0.010903,0.988,-0.015586,1.0028,0.94788,0.99638,1.0029,0.98989,0.98615,1.0093
1989,1.0058,0.011722,0.99219,0.0041408,1.0078,0.97112,1.0015,0.9984,1.0223,1.0065,1.0238
1989.2,1.0033,0.011892,0.98908,0.051017,1.006,1.0601,1.0698,1.0902,1.0569,1.0451,1.0651
1989.5,1.0003,0.014015,0.9867,0.063183,1.0052,1.05,1.0566,1.0628,1.0823,1.0659,1.067
1989.8,1.0036,0.009864,0.99151,0.080197,1.0109,1.0803,1.0636,1.0426,1.1144,1.0844,1.0809
1990,1.0079,0.013846,0.99007,-0.012486,1.0096,0.9497,0.93922,0.9242,1.0187,0.9925,1.0044
